"","x"
"1","sp|O43707|ACTN4_HUMAN"
"2","sp|P29401|TKT_HUMAN"
"3","sp|P62195|PRS8_HUMAN"
"4","sp|P08758|ANXA5_HUMAN"
"5","sp|P07355-2|ANXA2_HUMAN"
"6","sp|Q06830|PRDX1_HUMAN"
"7","sp|P48444|COPD_HUMAN"
"8","sp|O15143|ARC1B_HUMAN"
"9","sp|Q06323|PSME1_HUMAN"
"10","sp|P37802|TAGL2_HUMAN"
"11","sp|Q9HAV4|XPO5_HUMAN"
"12","sp|Q16836|HCDH_HUMAN"
"13","sp|P20591|MX1_HUMAN"
"14","sp|Q9BR76|COR1B_HUMAN"
"15","sp|Q86UX7|URP2_HUMAN"
"16","sp|O60256|KPRB_HUMAN"
"17","sp|P49721|PSB2_HUMAN"
"18","sp|P21964|COMT_HUMAN"
"19","sp|Q9Y262|EIF3L_HUMAN"
"20","sp|P12955|PEPD_HUMAN"
"21","sp|Q96KP4|CNDP2_HUMAN"
"22","sp|Q9UL46|PSME2_HUMAN"
"23","sp|O00533|NCHL1_HUMAN"
"24","sp|A0AVT1|UBA6_HUMAN"
"25","sp|Q13620|CUL4B_HUMAN"
"26","sp|P35637|FUS_HUMAN"
"27","sp|O00487|PSDE_HUMAN"
"28","sp|P48539|PCP4_HUMAN"
"29","sp|P02649|APOE_HUMAN"
"30","sp|P16403|H12_HUMAN"
"31","sp|Q01469|FABP5_HUMAN"
"32","sp|P07858|CATB_HUMAN"
"33","sp|P49902|5NTC_HUMAN"
"34","sp|P46976|GLYG_HUMAN"
"35","sp|P26583|HMGB2_HUMAN"
"36","sp|P15586|GNS_HUMAN"
"37","sp|P27105|STOM_HUMAN"
"38","sp|P14618|KPYM_HUMAN"
"39","sp|P50440|GATM_HUMAN"
"40","sp|Q9NXR7|BABA2_HUMAN"
"41","sp|P08195|4F2_HUMAN"
"42","sp|Q7L576|CYFP1_HUMAN"
"43","sp|P13473|LAMP2_HUMAN"
"44","sp|P49585|PCY1A_HUMAN"
"45","sp|O43670|ZN207_HUMAN"
"46","sp|Q9NRD5|PICK1_HUMAN"
"47","sp|Q8WU79|SMAP2_HUMAN"
"48","sp|Q9Y6N5|SQOR_HUMAN"
"49","sp|Q05655|KPCD_HUMAN"
